2022-05-25 20:15:48,808 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>
2022-05-25 20:15:48,809 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>, {'response': 200, 'message': 'D'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:48,810 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>
2022-05-25 20:15:53,867 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:53,867 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>: {'action': 'presence', 'time': 1653498952.9374416, 'user': {'account_name': 'Guest'}, 'message': 'd'}
2022-05-25 20:15:53,872 INFO      server.py проверка сообщения от клента
2022-05-25 20:15:53,873 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:15:53,876 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498952.9374416, 'user': {'account_name': 'Guest'}, 'message': 'd'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:15:53,877 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>, {'response': 200, 'message': 'D'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:53,878 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>
2022-05-25 20:15:53,879 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>, {'response': 200, 'message': 'D'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:53,880 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>
2022-05-25 20:15:59,981 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:59,981 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>: {'action': 'presence', 'time': 1653498959.6181765, 'user': {'account_name': 'Guest'}, 'message': 'dd'}
2022-05-25 20:15:59,981 INFO      server.py проверка сообщения от клента
2022-05-25 20:15:59,981 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:15:59,981 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498959.6181765, 'user': {'account_name': 'Guest'}, 'message': 'dd'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:15:59,998 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>, {'response': 200, 'message': 'DD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:59,998 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>
2022-05-25 20:16:00,000 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>, {'response': 200, 'message': 'DD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:16:00,000 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>
2022-05-25 20:28:18,789 INFO      server.py Определяем параметры сервера
2022-05-25 20:28:18,789 DEBUG     server.py Используется порт по умолчанию 7777
2022-05-25 20:28:18,789 INFO      server.py Используется адрес по умолчанию
2022-05-25 20:28:18,789 INFO      server.py Готовим сокет
2022-05-25 20:28:30,884 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52630)>,), kwargs = {}, из модуля "common.utils", из функции "main"
